[INPUT1],[INPUT2],[INPUT3],[INPUT4],[OPTION1],[OPTION2],[ANSWER]
Seorang ibu menatap wajah bayi laki-lakinya yang baru lahir.,Ia membayangkan masa depan mereka bersama.,Impiannya adalah untuk memberi anaknya masa kecil yang tak pernah didapatkannya.,Ia mengorbankan waktu dan tenaga untuk mewujudkan impiannya.,Anak itu melalui masa kecilnya dengan menderita.,Anak itu melalui masa kecil yang sangat bahagia.,1
Jessica dan saudara-saudaranya sangat bersemangat menyambut Natal.,Mereka tidur lebih awal agar dapat bangun lebih cepat.,Mereka bangun dan berlari ke pohon Natal.,Hanya ada sebuah kotak di bawah pohon.,Jessica bertanya-tanya apakah mereka bangun terlalu cepat.,Masing-masing saudaranya membuka hadiah Natal mereka.,0
Jan dan Kim sama-sama menggunakan model pendidikan Montessori.,Kim memutuskan untuk menjauhkan semua buku fantasi dan naga dari anaknya.,Jan tidak senang dengan keputusan Kim.,Jan berargumen bahwa imajinasi dan fantasi adalah hal yang penting.,Jan membuang semua buku itu.,Jan mengembalikan buku-buku itu.,1
Di hari pertama sekolah aku berjalan ke sana dengan kedua teman terdekatku.,Kami semua sangat gugup.,"Saat tiba di sekolah, kami memeriksa daftar kelas untuk kelas tiga.",Kami bertiga dimasukkan ke kelas yang sama!,Kami tidak percaya betapa beruntungnya kami.,Kami bertiga sangat kecewa.,0
Jeff marah karena anjing tetangganya selalu menggonggong di pagi hari.,Dan gonggongannya selalu membangunkan Jeff lebih cepat.,"Suatu hari, tetangganya memberikan anjingnya kepada orang lain.",Dan Jeff senang karena ia tak mendengar gonggongan lagi.,Jeff akhirnya akan mendapatkan ketenangan dan kedamaian.,Jeff akan merindukan anjing itu.,0
Holly meminta saudaranya untuk mengoleskan losion sumba surya di punggungnya.,Ia berlama-lama melakukannya dan mengoleskannya dengan sangat saksama.,"Kemudian di hari itu, Holly bertanya-tanya mengapa banyak orang tertawa.",Ia lalu menyadari bahwa saudaranya telah membuat sebuah rancangan dengan losion itu.,Holly meneriaki saudaranya untuk membalasnya.,Holly memberi saudaranya uang sebagai kompensasi.,0
Aku dulu mengejek istriku karena menyalakan lampu tidur.,Ia pergi ke luar kota selama beberapa hari dan aku tidur tanpa menyalakannya.,Saat aku terbangun di tengah malam untuk mengambil air aku tersandung.,Aku tak dapat melihat baju-baju di lantai dan mendapatkan memar parah.,Aku memutuskan untuk menyingkirkan lampu tidur itu untuk seterusnya.,Aku tidak pernah mengejek istriku dan lampu tidurnya lagi.,1
Amy memutuskan untuk pindah dari Wisconsin ke Florida.,Ia berencana untuk pindah selama beberapa bulan.,"Di hari kepindahannya, ia mengucapkan selamat tinggal kepada teman-temannya.",Ia mengemudi di sepanjang jalan ke Florida sendirian.,"Namun, ia mendapati bahwa Alaska sangatlah menyenangkan.",Namun pengalaman itu tidaklah menyenangkan tanpa teman-temannya.,1
Kathy pergi berbelanja.,Ia menemukan sepasang sepatu yang bagus.,Sepatu itu harganya $300.,Ia membeli sepatu itu.,Kathy benci membeli sepatu.,Ia merasakan penyesalan pembeli setelah membelinya.,1
Ulang tahun Amayah sebentar lagi.,Ia akan berusia lima tahun.,Ibunya akan mengadakan pesta putri untuknya.,Ia mengundang banyak temannya dari sekolah.,Amayah senang menjadi putri di pestanya.,Amayah sedih karena ia tak menginginkan pesta minum teh.,0
Aku dan teman-teman pergi ke pantai hari ini.,Kami membawa sebuah frisbee dan sebuah bola.,"Selagi bermain di air, beberapa orang lain ikut bergabung.",Mendapatkan teman-teman baru sangat menyenangkan.,Aku sangat senang bertemu beberapa teman baru.,"Secara keseluruhan, itu adalah hari lintas alam yang menyenangkan.",0
Saat itu Jumat malam jadi aku memutuskan untuk menyewa sebuah film.,Aku pergi ke Redbox untuk mendapatkan sebuah film.,Setelah menghabiskan waktu satu jam aku akhirnya memilih The Departed.,"Aku pulang dan membuat camilan, lalu memasukkan film ke pemutarnya.",Itu adalah film terbaik yang pernah kutonton dalam waktu yang lama.,Aku mandi lalu pergi bekerja.,0
Paula menuliskan banyak puisi lisan.,Teman-temannya mendukungnya meskipun puisinya buruk.,Mereka mengundangnya ke pesta.,Paula mulai membawakan beberapa puisi lisan.,Teman-temannya memuji puisinya.,Paula merobek puisinya.,0
"Setelah turun dari bus sekolah, aku sadar bahwa ponselku hilang.","Karena terhubung ke jaringan, aku memutuskan untuk menghentikan layanannya.",Representatif layanan pelanggan melakukannya untukku.,"Selain itu, katanya ada panggilan yang dibuat ke Jamaika.",Aku tahu seseorang telah mencurinya.,Aku tahu seseorang akan segera mengembalikan ponsel itu.,0
Hari ini adalah ulang tahun Iris yang kelima!,Ibunya telah merencanakan sebuah pesta kejutan untuknya.,Semua temannya hadir.,Ia membuka hadiah dan makan kue.,Iris bersenang-senang di pestanya.,Iris memutuskan untuk tidak makan kue lagi.,0
Tina selalu mengenakan bikini merah saat pergi ke pantai.,Ia dikenal karenanya dan semua orang menduga akan melihatnya mengenakan bikini merah.,Suatu hari ia bertemu teman-temannya dengan mengenakan bikini biru dan mengejutkan mereka.,Mereka tidak mengerti mengapa ia mengenakan sesuatu yang berbeda.,Tetapi mereka menyukai bikini baru itu.,Teman-teman Tina tahu betapa sulit ditebaknya dirinya.,0
Ted selalu bermimpi menjadi seorang pemilik rumah.,Namun ia khawatir itu adalah impian yang takkan pernah diraihnya.,"Suatu hari, ayahnya mengejutkannya dengan mengatakan bahwa ia akan membantu Ted.",Ayah Ted membantu membagi uang muka untuk rumah dengan Ted.,Ted mengatakan bahwa ia tidak ingin lagi menjadi seorang pemilik rumah.,Ted berterima kasih kepada ayahnya atas bantuannya.,1
Evie berjalan-jalan mengelilingi istana selama berjam-jam.,Ia menelusuri setiap sudut dan celah bangunan tersebut.,Penyelianya mengujinya tentang apa saja yang telah dipelajarinya.,Ia menjawab pertanyaan-pertanyaan mereka dengan brilian dan mudah.,Ia bangga dengan dirinya sendiri.,Ia melarikan diri dengan ketakutan.,0
Ed dan saudara kembarnya Ethan sedang melihat-lihat wanita secara online.,Lalu mereka melihat profil untuk dua wanita kembar.,Mereka menghubungi Sami dan Sara dan mengatur acara kencan.,Di acara kencan itu mereka berempat bersenang-senang.,"Bertahun-tahun kemudian, kedua pasangan itu menikah.",Mereka memutuskan untuk tidak saling bertemu lagi.,0
Marco akan memulai pekerjaan yang baru hari ini.,Ia ingin tampil baik di hari pertamanya.,Marco memutuskan untuk mengenakan dasi.,Atasan barunya terkesan dengan penampilannya yang menawan.,Marco senang ia telah memberikan kesan yang baik.,Marco merasa ngeri dengan reaksi atasannya.,0
Tim ingin bepergian ke luar negeri.,Ia belum pernah naik pesawat terbang sebelumnya.,Ia memutuskan untuk terbang ke Tiongkok.,Ia menikmati penerbangan itu!,Tim bersumpah takkan pernah naik pesawat terbang lagi.,Tim mulai bepergian ke banyak tempat dengan pesawat terbang.,1
Lucy akan menghadapi ujian di sekolah besok dan ia nyaris tidak belajar.,Saat itu sudah sangat larut dan ia harus tidur.,Keesokan paginya sekolah diliburkan karena salju.,Lucy beruntung dan menghabiskan hari liburnya dengan belajar untuk ujian.,Lucy lulus ujian dengan gemilang.,Lucy tidak lulus ujian karena belum belajar.,0
Fred suka novel misteri.,Ia dulu membaca setidaknya satu buku setiap bulan.,"Saat teman-temannya tahu, mereka semua membelikannya sebuah buku untuk ulang tahunnya.",Tetapi sayangnya ia mulai merasa kesal dengan perhatian itu.,Fred memberi tahu teman-temannya bahwa ia sedang beristirahat dari novel misteri.,Fred membentuk klub buku novel misteri untuk teman-temannya.,0
Tia memiliki toko roti sendiri.,"Di toko rotinya, dia membuat keik yang cantik.","Satu hari, dia menyadari kekurangan tepung padahal sedang ada banyak pesanan.",Dia menghubungi seluruh kota dan berhasil mendapatkan sedikit tepung.,Tia kecewa.,Tia merasa lega.,1
Sarah pergi bersama teman-temannya ke taman air.,Mereka membayar tiket dan mengenakan busana renang.,Mereka menunggu antrean untuk seluncuran terbesar.,Mereka menuruni seluncuran dan sangat bersenang-senang.,Mereka berjanji tak akan kembali lagi.,"Esoknya, mereka datang lagi.",1
Jeb memahat patung dari batu.,Dia membuat patung mirip penyu.,Sam datang dan merubuhkan patung itu.,Jeb mulai menangis.,Sam tertawa dan kabur.,Jeb tak sabar untuk memahat patung yang baru.,0
Jeff pergi karyawisata ke hutan hujan bersama kelasnya.,Jeff bersemangat dan tak sabar untuk berangkat.,"Saat Jeff tiba, dia sangat kecewa.",Hutan hujan itu tidak menarik dan tak ada yang bisa dilakukan di situ.,Jeff bersenang-senang.,Jeff bosan dan kesal.,1
Dani adalah seorang perawat di IGD.,"Suatu hari, ayahnya yang kurang dekat dengannya menjadi pasiennya.","Dani tidak ingin, tetapi dia tetap menangani ayahnya.","Saat kondisi ayahnya membaik, keduanya dapat mengobrol.",Dani tidak terkejut dengan peristiwa hari itu.,Dani sekarang lebih mengenal ayahnya.,1
"Gina berada di rumah temannya, Ruth.",Seorang gadis tak dikenalnya yang bernama Jane muncul.,Jane bersikap kasar dan arogan.,"Gina kemudian mengetahui bahwa Jane adalah saudari musuhnya, Joe.",Jadi dia terus menghindari Jane.,Jadi dia senang dapat berteman dengan Jane.,0
Ella menghabiskan hari di bawah mentari.,Dia lupa memakai tabir surya.,Kulitnya jadi memerah dan buruk!,"Namun, perlahan kemerahan di kulitnya memudar dan menggelap.",Ella terlihat cantik dan menerima banyak pujian.,"Esoknya, Ella menghabiskan waktu di bawah hujan.",0
Neil baru tiba di Kenya.,Dia mengikuti grup tur safari.,Mereka menyaksikan beragam jenis hewan eksotik.,Neil mengambil foto demi foto.,Dia dicakar oleh seekor singa.,Neil menyusun album foto saat pulang.,1
Gina memutuskan untuk memanggang pai apel perdananya.,Dia mengikuti resep dengan sangat hati-hati.,"Setelah menaruh pai di oven, dia tak sabar ingin mencobanya.",Ternyata painya lezat!,Jadi dia memutuskan untuk membuang pai itu ke tong sampah.,Dia berbagi resep dan pai itu dengan semua temannya.,1
Pablo ingin makan permen keras.,"Namun, dia tak punya uang.",Dia membongkar lemari baju untuk mencari apa yang dapat dijualnya.,Dia menemukan boneka beruang dan menjualnya seharga 50 sen.,Lalu dia membeli permen keras.,"Dengan uang itu, dia membeli soda.",0
Anna menyewa gudang untuk merayakan pesta meriah.,"Dekorasinya indah, tetapi ada yang kurang.",Anna lalu menyadari jika dia perlu bola disko!,Dia menyewa bola disko dari perusahaan pemasok alat pesta.,Anna kecewa.,Pestanya berjalan meriah.,1
Oscar mendatangi kebun bibit untuk mencai pohon yang akan ditanamnya di halamannya.,Dia lama sekali menentukan pohon yang akan ditanam.,Ada banyak pohon yang harus dilihat.,"Akhirnya, dia memilih pohon Bonsai.",Pohon itu cocok dengan dekorasi rumahnya.,Dia menghancurkan pohon itu sesampainya di rumah.,0
Sebuah liga utama basket berlangsung di gym.,Saya dan teman berada di tim yang sama.,Pertandingan berjalan intens dan saat babak akhir nilai kedua tim seri.,Tersisa 4 detik dan kami harus mencetak skor.,Saya memasukkan bola ke keranjang dan membuat tim kami menang.,Saya berjalan menjauh dari lapangan dan tak menoleh ke belakang.,0
Dirk adalah seorang pianis andal.,Dia sering dibayar untuk tampil di depan umum,"Saat pertunjukan terakhirnya, salah satu tuts kibornya rusak.","Dia menuntaskan pertunjukan sebisa mungkin, tetapi musiknya jelek.",Dirk merasa malu.,Dirk menyukai suara dari tuts kibornya.,0
Eval menyukai tupai-tupai di halamannya.,Dia mulai memberi mereka makan roti lapis selai kacang.,Perlahan tupai-tupai itu tumbuh mengenalnya.,Salah seekor tupai sangat ramah.,Eva takut akan semua tupai itu.,Eva mampu memelihara salah seekor tupai.,1
Andy menyukai pantai.,Dia bertanya kepada ibunya apakah mereka bisa pergi ke pantai.,Ibunya membawa Andy ke pantai.,"Saat di perjalanan, hari mulai hujan.",Andy benci pantai itu.,Andy merasa sedih tentang itu.,1
Saya membeli kasing telepon dengan tali gantungan.,Saya perlu kasing untuk ponsel saya.,Kasingnya tiba tanpa tali gantungan.,Situs webnya mengatakan kasingnya memiliki braket tetapi tidak tali gantungan.,Saya mengembalikan telepon saya.,Saya merasa konyol.,1
Saya mengganti seprai ranjang saya minggu lalu.,Saya bosan dengan seprai yang lama.,Seprai yang baru terlihat lebih cantik dan terasa lebih bagus.,Saya rasa saya akan menyimpannya.,Saya senang harganya tidak terlalu mahal.,Saya berencana merobek-robeknya.,0
Chase sangat menginginkan mainan baru.,Ibunya tidak mau membelikannya mainan baru.,Ibunya menyuruhnya untuk menabung.,Dia menabung.,Chase membeli sendiri mainan baru untuknya.,Chase kabur dari rumah.,0
Renee terinspirasi musik Eddie Van Halen.,Dia berencana untuk belajar bermain gitar.,Dia membeli gitar listrik dan amplifier.,Dia benci menekan senar dengan jarinya.,Renee memutuskan untuk membiasakan diri menekan senar.,Renee senang dia memutuskan untuk belajar bermain drum.,0
Bill pergi memancing dan menangkap banyak ikan.,"Dia menangkap banyak sekali ikan, sampai-sampai harus memberikan sebagian.",Tetangga-tetangganya miskin dan berterima kasih kepada Bill atas ikan itu.,Tetangga-tetangganya akhirnya dapat hidup mandiri.,Tetangga-tetangga Bill menuntutnya karena telah membuat mereka miskin.,Mereka memanggang roti untuk Bill sebagai rasa terima kasih atas ikannya.,1
Minggu lalu internet mati.,Saya dan istri merasa bosan.,Hal lainnya terlihat membosankan.,Akhirnya kami hanya minum dan mengobrol lama.,Kami akhirnya mampu bersenang-senang.,Kami tidak senang tanpa internet dan minum.,0
"Sepanjang hidupnya, Tim ingin menggubah musik.","Tim berlatih sepanjang hari, setiap hari.","Setelah Tim punya cukup lagu, dia menghubungi studio rekaman.","Studio memutuskan untuk merekamnya, dan Tim merasa senang.",Tim memutuskan untuk tidak menyukai musik.,Tim menjadi musisi profesional.,1
"Alex merasa kucingnya, Tigger, berkutu.",Tigger terus-terusan menggaruk dirinya siang dan malam.,Alex membawa Tigger ke dokter hewan untuk didiagnosis.,Dokter hewan memastikan bahwa Tigger tidak berkutu.,Mereka memberinya obat kutu dan masalahnya beres.,Ales memutuskan untuk tidak memberi kucingnya obat resep itu.,0
Haley seorang ilmuwan muda di laboratorium terkenal.,"Setiap hari, dia bekerja keras menyelesaikan proyeknya.",Salah satu koleganya diam-diam mencuri hasil risetnya.,Haley mengetahui ini ketika temannya menerbitkan karyanya di sebuah jurnal ilmiah.,Haley merasa telah dikhianati.,Haley merasa telah didukung.,0
Sam ingin mengadakan pesta.,Sam mengundang semua teman dan tetangganya.,Pesta itu berlangsung liar.,Seluruh tamu meninggalkan pesta dalam keadaan jijik.,Sam menjadi perencana pesta.,"Esoknya, Sam mengalami pengar yang buruk.",1
Katie tidak bisa tidur.,Dia turun ke lantai bawah menuju dapur.,Dia menuangkan segelas susu.,Lalu dia memanaskannya di microwave.,Katie minum susu dan kembali tidur.,Katie memutuskan untuk membuang susu itu ke wastafel.,0
"Tom mengobrol dengan istrinya, Becky, yang mengalami hari buruk di kantor.",Tom memutuskan untuk membelikan makanan favorit istrinya sebagai kejutan.,"Saat pulang kerja, terjadi kemacetan parah.","Setelah membeli makanan, dia tiba di rumah sangat terlambat dari yang diperkirakan.","Namun, semua berjalan baik setelah mereka berpelukan dan menyantap makan malam.",Tom memutuskan untuk pergi ke kasino dan mengabaikan keluarganya.,0
Mereka harus memilih sebuah kompor untuk rumah baru mereka.,Mereka tidak mampu memutuskan merek yang harus dibeli.,Mereka suka keawetan Viking.,Mereka juga suka promo dari Thermador.,Mereka tidak lagi memerlukan kompor.,Mereka memutuskan untuk membeli kompor Viking.,1
Jasmine tidak belajar untuk mengikuti ujian matematika yang penting.,Dia merasa sanggup mengerjakannya.,Jasmine lalu menyadari bahwa ujian itu sangat sulit.,Dia memutuskan untuk mencontek kertas ujian peserta di sebelahnya.,Gurunya memergokinya dan memberinya hukuman.,Gurunya memergokinya dan memuji akal bulusnya.,0
Sam pindah ke Los Angeles untuk menjadi seorang bintang film.,Ia tidak mempunyai banyak uang tetapi ia berpikir bahwa itu adalah satu-satunya jalan.,Setelah dua bulan Sam tidur di mobilnya dan kehabisan uang.,Ia pergi ke bioskop cina untuk mengemis pada suatu hari.,Sam merasa sedikit berharap.,Sam merasa sangat tertekan.,1
Ben bangun terlambat.,Ben memutuskan untuk melewatkan sarapan dan pergi bekerja.,Pekerjaan sangat padat sehingga tidak sempat beristirahat atau makan siang.,"Setelah bekerja, Ben terjebak dalam kemacetan yang benar-benar buruk.",Ben sangat lapar sehingga jatuh sakit.,Ben dapat pulang dengan cepat.,0
Darren terlambat untuk bekerja dan tidak dapat menemukan kunci mobilnya.,Ia mencari di seantero rumah.,Ia bertanya pada istrinya tentang keberadaan kunci mobil itu.,Istrinya meminta agar ia memeriksa saku-sakunya. ,Darren mematikan komputer.,Tidak ada kunci di saku-sakunya.,1
Saya mengikuti wawancara kerja minggu lalu.,Pacarku membantu memilih dasi baru.,Kami pergi ke toko dan mencari selama berjam-jam.,Saya menemukan tiga buah yang saya sukai.,Alih-alih saya membeli dasi kupu-kupu.,Saya membeli semuanya.,1
Harry menyukai hoki.,Ia memutuskan untuk mendaftar agar bermain dalam liga setempat. ,Harry mengikuti uji coba untuk tim.,Harry berharap dapat melakukannya dengan cukup baik untuk masuk ke tim.,Harry kemudian keluar dari tim hokinya.,"Beberapa hari kemudian, Harry mendengar bahwa ia berhasil masuk ke tim.",1
Sue kecil sedang menunggang gajah di kebun binatang.,Mulanya ia suka tetapi kemudian ia menjadi takut.,Ia mulai menangis mencari ibunya.,Penjaga kebun binatang harus menghentikan gajah itu dan menurunkan Sue.,Ibu Sue membawanya untuk membelai kambing sebagai gantinya. ,Sue terus menunggang gajah itu.,0
Hannah adalah seniman yang luar biasa.,Ia selalu memiliki bakat alami.,Ia memutuskan untuk mengikuti kompetisi seni.,Syukurlah ia dapat memenangkan hadiah tertinggi.,Orang tuanya bersihkeras agar neneknya melakukan sebagian besar pekerjaan jahit-menjahit. ,Orang tuanya sangat bangga.,1
Jim membawa sampah keluar. ,Ia terpeleset pada sebongkah es di trotoar.,Jim jatuh dengan keras ke trotoar.,Jim merasa ada yang patah di lengannya.,Jim memutuskan untuk bertumpu pada tangannya.,Jim cedera dan harus menelepon 911.,1
Saya benci mencuci.,Mencocokkan kaus kaki itu sangat membuang waktu.,Setiap kali saya mencuci kaus kaki hilang.,Saya lelah mencari kaus kaki yang sesuai.,Saya rasa mencuci itu membuat santai.,Saya membuang semua kaus kaki lama saya dan membeli kaus kaki putih polos semuanya. ,1
James berusia dua belas tahun dan menyukai makanan.,Ia tidak pernah benar-benar berpikir tentang membuat makanan hingga saat ini.,Ibunya membiarkan dia membantu mengurus nasi untuk makan malam. ,James mendengar bahwa memasak dapat menjadi begitu menyenangkan dan kreatif.,James memutuskan untuk menjadi koki ketika dewasa.,James tidak pernah memasak lagi.,0
Lee mengetahui ibunya membutuhkan sarung tangan baru tetapi tidak dapat membelinya.,Jadi Lee mulai merajut sepasang.,Ia bergegas untuk menyelesaikannya sebelum Natal.,Ia lalu memberikannya kepada ibunya.,Ibu Lee bangga dengan puterinya karena sangat perhatian.,Ibu Lee melempar sarung tangan itu ke Lee dan meninggalkan ruangan.,0
Jennifer adalah seorang copywriter profesional di sebuah kota besar.,Ia bekerja dengan baik tetapi selalu menerima komentar buruk tentang tinjauannya.,Jennifer mengetahui bahwa bosnya sedang berupaya menyabotasenya.,Ia memutuskan untuk menentang bosnya tentang komentar-komentar negatif tersebut.,Jennifer berterima kasih kepada bosnya atas kejujurannya.,Jennifer mengamuk ke kantornya dan meluruskan permasalahan dengan bosnya.,1
Lorraine adalah seorang pemain softball.,Ia yang terbaik di timnya.,"Suatu hari, selama pertandingan, ia mengalami keseleo berat pada pergelangan kakinya. ",Ia tidak dapat bermain lagi.,Lorraine merasa sangat senang.,Lorraine merasa sangat sedih.,1
Abby dan Tammy adalah sahabat karib.,Mereka berdua senang melakukan bersama-sama hal-hal yang menyenangkan dan kreatif.,Mereka memutuskan untuk membuat gelang persahabatan bersama dan memberinya kepada orang lain.,Abby membuat lima dan Tammy membuat tujuh lainnya.,Tammy tidak pernah berbicara dengan Abby lagi.,Mereka memutuskan untuk menyimpan sendiri gelang-gelang itu.,1
Semalam ada badai petir yang hebat.,Badai itu memadamkan listrik.,Seluruh lingkungan tetangga tidak memiliki listrik.,Udara menjadi sangat dingin dan kami ketakutan.,Kami akan terpaksa menyekop salju.,Kemudian setelah sekitar sejam listrik menyala kembali.,1
Sal marah karena orang tuanya pindah.,Mereka pindah ke lantai delapan sebuah gedung.,Ia benci tinggal di ketinggian seperti itu.,"Setelah pindah, ia menengok keluar dari jendela kamar tidurnya.",Ia melemparkan bantalnya keluar jendela.,Pemandangan indah membuatnya berubah pikiran.,1
Lydia mengalami mimpi yang aneh semalam.,Ia bermimpi bahwa ia sedang mengikuti ujian di sekolah.,Ketika ia mengerjakan ujian ia menyadari bahwa ia lupa memakai celana!,Ia sangat malu sehingga berlari keluar dari kelas.,Lydia mengira mimpi itu nyata.,Lydia merasa lega ketika menyadari itu hanya mimpi.,1
Aleks membutuhkan bahan makanan.,Ia membuat daftar barang belanjaan.,Ia mengumpulkan kantung kanvasnya yang dapat dipakai kembali.,Ia berjalan menuju toko.,Alex membeli sebuah kapal pesiar.,Ia membeli bahan makanan tersebut.,1
Yolanda membenci roller coaster.,Kattie tidak mengerti alasannya.,Ia memutuskan untuk memaksa Yolanda untuk menumpang bersamanya.,Yolanda muntah di sekujur tubuh Katie.,Katie baru merasa sebahagia itu.,Katie menyesal telah memaksa Yolanda mengikuti tumpangan itu.,1
Satu hal yang ingin Tina lakukan di NYC adalah pergi ke stan hot dog.,Ia akhirnya melihat stan Nathan dan memesan yang tradisional.,Makanan itu rasanya luar biasa.,Harganya mahal tapi pantas.,Ia sedih dengan hot dog itu.,Ia sedang dengan hot dog itu,1
Tammy suka merajut.,Natal tinggal beberapa minggu lagi dan ia benar-benar tidak punya uang.,Ia punya ide untuk mengambil benangnya yang tidak terpakai untuk membuat selimut.,Ia kemudian membungkusnya untuk cucunya Lorelei.,Tammy sedih karena tidak punya hadiah untuk diberikan.,Lorelei menyimpan selimut itu bertahun-tahun.,1
Melinda ingin pergi menonton film horor. ,Ia ingin pergi sendiri untuk membuktikan bahwa ia berani.,Melinda pergi ke bioskop dan membeli tiket.,Melinda sangat ketakutan ketika menonton film itu.,Melinda berpikir bahwa film itu lucu sekali.,Melinda berharap ia tadi mengajak seseorang.,1
Lamar mengetahui bahwa ia akan kedatangan tamu tak terduga suatu sore.,Ia tidak punya makanan di rumah untuk disajikan bagi para tamunya.,"Alih-alih, ia memutuskan untuk membuat seteko teh untuk mereka. ",Semua tamunya menikmati teh yang dibuatnya.,Lamar memberi mereka teh untuk dibawa pulang.,Lamar berjalan menuju taman.,0
Kemenakan perempuan saya melamar pekerjaan di RMV dua tahun lalu.,Ia mendapatkan pekerjaan tersebut dan sangat senang.,"Mereka memberitahu bahwa ia perlu memiliki surat izin mengemudi, yang tidak dimilikinya.",Ia menunjukkan kepada majikannya catatan dokter yang menunjukkan bahwa ia tidak boleh menyetir.,Mereka memutuskan tidak apa-apa membiarkannya bekerja sebagai sekretaris.,Ia memiliki catatan menyetir yang sempurna.,0
Lela didiagnosa menderita kanker lima tahun lalu.,Setiap hari adalah perjuangan.,Ia pergi ke banyak dokter dan pengobatan hampir setiap hari.,Lela akhirnya mulai membaik beberapa bulan terakhir.,Lela kemudian menyelesaikan perawatannya dan merasa lebih baik.,Lela kemudian sembuh dari flu yang dideritanya.,0
Fred adalah siswa baru di kelas.,Ia benar-benar canggung dan mengalami kesulitan.,Tak seorang pun tampaknya ingin berteman dengannya.,Kemudian pada saat makan siang seseorang makan bersamanya.,Fred populer.,Fred bercakap-cakap dengan teman makan siangnya dan menjadi teman.,1
Joyce diadopsi oleh ibu angkatnya ketika berusia 5 tahun.,Setelah adopsi ibunya mengadopsi 3 anak lagi.,Joyce senang menjadi saudari tertua dan ia banyak membantu ibunya.,Ketika ia sendiri pindah ia menjadi orang tua angkat juga.,Joyce meninggalkan anak-anaknya tidak lama setelah itu.,Joyce begitu menyayangi anak-anaknya.,1
Horatio selalu takut memakan tiram mentah.,"Pacarnya bilang itu lezat, tetapi ia gugup.",Akhirnya pacaranya membawanya berlibur di Cape Cod untuk mencoba tiram segar.,Horatio mencoba gigitan pertamanya pada tiram mentah dan menyukainya,Ia memutuskan untuk tidak makan lagi.,Ia makan sepuluh lagi.,1
Tom suka menggembalakan ternak.,Ia melakukannya setiap hari.,Suatu hari seekor sapi lepas.,Ia mencari ke mana-mana.,"Ia memerhatikan sapi itu di kebun tetangga, mengacuhkannya, dan pergi.",Ia menemukan sapi itu dan membawanya kembali.,1
Alyssa mengambil kopi dalam perjalanan ke tempat kerja.,Ia meminum kopi sambil menyetir.,"Tiba-tiba, ia harus menghentikan mobilnya dengan cepat.",Kopi tumpah di seluruh pangkuannya.,Ia tertawa sambil terus berkendara menuju tempat kerja.,Ia hampir mengalami kecelakaan ketika berteriak kesakitan.,1
John sedang mengemudi di jalan raya.,Sebuah Mustang mendekat ke sisinya dan menyamakan kecepatan.,Ia sedang mengemudikan Camaro barunya.,Mereka memutuskan untuk balapan.,John memenangkan balapan itu.,John berhenti untuk membeli sebuah Mustang.,0
Ben ingin memenangkan kontes kostum di tempat kerjanya tahun ini.,Ia menghabiskan waktu berjam-jam untuk merancang kostumnya dari nol.,"Untuk melengkapi kostumnya, ia mengenakan banyak riasan panggung.","Di tempat kerja, semua orang terkesan dengan penampilannya.",Ben senang.,Ben mundur dari kontes kostum itu.,0
Ibuku bertanya apakah ia bisa meminjam $100 dariku.,"Karena ia kekurangan uang, aku meminjamkan kartu kreditku kepadanya.","Keesokan harinya, kartu kreditku ditolak saat aku mencoba membeli makanan.",Perusahaan kartu kredit memberitahuku bahwa aku telah melakukan pembelian senilai $320.,Aku memberi tahu ibuku untuk terus menggunakan kartu kreditku.,Aku marah kepada ibuku karena menghabiskan limit kartu kreditku.,1
Kelly selalu punya rambut yang paling kering.,Ia tak tahu apa yang harus dilakukan.,Ia akhirnya pergi ke dokter.,Ia meresepkan obat untuknya.,Kelly akhirnya punya rambut yang tidak kering.,Kelly suka keripik kentang.,0
Sarah punya rasa takut dikelilingi orang lain.,Ia memutuskan untuk memaksa dirinya pergi ke sebuah pesta.,"Di pesta itu, ia menjadi pusing dan gelisah.",Sarah memutuskan bahwa itu sudah cukup dan pergi menemui ahli terapi.,Ahli terapi itu mengajarinya cara untuk mengatasi masalahnya.,Ahli terapi itu memberitahunya bahwa ia aneh.,0
Ellen sedang berada di kantor dokternya.,Ia akan segera mengetahui jenis kelamin bayinya.,Ia sangat mengharapkan seorang anak laki-laki!,Ia menahan napas saat dokter memindai perutnya.,Ellen kecewa mengetahui bahwa ia sedang mengandung anak laki-laki.,Dokternya mengonfirmasikan bahwa itu adalah anak laki-laki!,1
Zoey diejek oleh teman-temannya karena memiliki nama yang aneh.,Ia menyukai namanya dan berharap orang-orang tidak bersikap jahat.,Sebuah acara baru dibuat dengan karakter utama bernama Zoey.,Nama Zoey tiba-tiba menjadi sangat keren bagi teman-temannya.,Zoey senang karena sekarang semua orang menyukai namanya.,Zoey mengubah namanya saat menginjak usia 18 tahun.,0
Miranda baru saja mendapatkan surat izin mengemudinya.,Ia membawa mobil van keluarganya untuk jalan-jalan.,Ia mengemudi untuk waktu yang lama.,Tetapi kemudian ia sadar bahwa ia tersesat.,Miranda kembali melewati jalan yang tadi ditempuhnya untuk melacak kembali jejaknya.,Miranda senang dengan momennya yang membanggakan.,0
Bob pergi ke dokter.,Dokter memberitahunya bahwa ia kelebihan berat badan.,Bob menyadari bahwa ia harus menurunkan berat badannya.,Ia bergabung di sebuah gim dan mulai mengawasi apa yang dimakannya.,Berat badan Bob naik 50 pound.,Badan Bob menjadi langsing.,1
