[PREMISE],[CHOICE1],[CHOICE2],question,[LABEL],changed,[CONNECTOR]
Sebuah ledakan bergema di panggung.,Sebuah ledakan bergema di panggung karena musisi itu mengetuk kakinya.,Sebuah ledakan bergema di panggung karena musisi itu memukul drum.,cause,1,False,karena
Para orang tua bergegas ke kamar anak mereka.,Para orang tua bergegas ke kamar anak mereka karena anak itu terbangun menjerit karena mimpi buruk.,Para orang tua bergegas ke kamar anak mereka karena anak itu takut untuk melihat ke bawah tempat tidurnya.,cause,0,False,karena
Wanita itu berkomunikasi dengan bahasa isyarat.,Wanita itu berkomunikasi dengan bahasa isyarat karena ia dilahirkan prematur.,Wanita itu berkomunikasi dengan bahasa isyarat karena dia dilahirkan tuli.,cause,1,False,karena
Kekeringan terjadi di wilayah tersebut.,Kekeringan terjadi di wilayah tersebut sehingga air itu  terkontaminasi.,Kekeringan terjadi di wilayah tersebut sehingga hasil panen itu musnah.,effect,1,False,sehingga
Kucing itu mengejar burung.,Kucing itu mengejar burung sehingga burung itu terbang.,Kucing itu mengejar burung sehingga burung itu menangkap seekor cacing.,effect,0,False,sehingga
Gadis itu pindah sekolah.,Gadis itu pindah sekolah karena sekolah libur untuk musim panas.,Gadis itu pindah sekolah karena dia pindah ke kota baru.,cause,1,False,karena
Pemilik pabrik itu menolak untuk menaikkan upah karyawan.,Pemilik pabrik itu menolak untuk menaikkan upah karyawan sehingga pemilik pabrik itu menunjuk seorang manajer baru.,Pemilik pabrik itu menolak untuk menaikkan upah karyawan sehingga para karyawan protes.,effect,1,False,sehingga
Pemimpin itu membuat geram para ekstrimis di negaranya.,Pemimpin itu membuat geram para ekstrimis di negaranya sehingga para ekstrimis mempengaruhinya.,Pemimpin itu membuat geram para ekstrimis di negaranya sehingga para ekstrimis membunuhnya.,effect,1,False,sehingga
Aku berjalan di pantai  tanpa alas kaki.,Aku berjalan di pantai  tanpa alas kaki sehingga pasir menempel di kakiku.,Aku berjalan di pantai  tanpa alas kaki sehingga ombak menabrak ke tepi pantai.,effect,0,False,sehingga
Saya terbangun di tengah malam karena kedinginan.,Saya terbangun di tengah malam karena kedinginan sehingga saya pakai celana hangat.,Saya terbangun di tengah malam karena kedinginan sehingga saya minum segelas air.,effect,0,False,sehingga
Sang ibu menenangkan putranya.,Sang ibu menenangkan putranya karena putranya tersenyum.,Sang ibu menenangkan putranya karena putranya merengek.,cause,1,False,karena
Ada sebuah lubang di celana jeans saya.,Ada sebuah lubang di celana jeans saya karena saya membuka ritsleting celana jeans saya.,Ada sebuah lubang di celana jeans saya karena saya tersandung di trotoar.,cause,1,False,karena
Bocah itu memakai kawat gigi.,Bocah itu memakai kawat gigi sehingga ada bolongan di giginya.,Bocah itu memakai kawat gigi sehingga giginya menjadi lurus.,effect,1,False,sehingga
Saya berolahraga di gym kemarin.,Saya berolahraga di gym kemarin sehingga otot saya sakit ketika saya bangun hari ini.,Saya berolahraga di gym kemarin sehingga saya bangun dengan sakit tenggorokan hari ini.,effect,0,False,sehingga
Gadis itu berbisik bolak-balik satu sama lain di meja makan siang.,Gadis itu berbisik bolak-balik satu sama lain di meja makan siang sehingga siswa lain duduk di meja makan siang mereka.,Gadis itu berbisik bolak-balik satu sama lain di meja makan siang sehingga murid-murid lain di meja makan mereka merasa tertinggal.,effect,1,False,sehingga
Anak itu mendarat di trampolin.,Anak itu mendarat di trampolin sehingga dia terlempar kembali ke udara.,Anak itu mendarat di trampolin sehingga dia mencoba melakukan flip.,effect,0,False,sehingga
Saya masukkan surat itu di kotak surat.,Saya masukkan surat itu di kotak surat sehingga surat itu di kirim oleh kantor pos.,Saya masukkan surat itu di kotak surat sehingga surat itu di kirim kilat oleh kantor pos.,effect,0,False,sehingga
Penjudi itu percaya diri.,Penjudi itu percaya diri sehingga dia pertaruhkan semua uangnya.,Penjudi itu percaya diri sehingga dia pulang bangkrut.,effect,0,False,sehingga
Kebakaran hutan itu menyebar.,Kebakaran hutan itu menyebar karena angin menjadi lebih kuat.,Kebakaran hutan itu menyebar karena para pelaku pembakaran itu ditangkap.,cause,0,False,karena
Anak itu menggores lututnya.,Anak itu menggores lututnya sehingga ibunya menyruhnya untuk ke kamarnya.,Anak itu menggores lututnya sehingga ibunya balut lukanya.,effect,1,False,sehingga
Pria itu selamat dari penyakit yang mematikan itu.,Pria itu selamat dari penyakit yang mematikan itu karena dia tandatangani surat wasiatnya.,Pria itu selamat dari penyakit yang mematikan itu karena dia menerima transplantasi organ.,cause,1,False,karena
Aku meneguk kopi yang panas itu.,Aku meneguk kopi yang panas itu sehingga saya menggigit lidah saya.,Aku meneguk kopi yang panas itu sehingga saya bakar lidah saya.,effect,1,False,sehingga
Editor itu memecat si penulis.,Editor itu memecat si penulis karena penulis itu menghindari bias dalam ceritanya.,Editor itu memecat si penulis karena penulis itu tidak menyelesaikan pekerjaan pada tenggat waktu yang penting.,cause,1,False,karena
Saya merasa lelah.,Saya merasa lelah karena i slept all day.,Saya merasa lelah karena saya belajar sepanjang hari.,cause,1,False,karena
Dokter itu mendiagnosis seorang pasien.,Dokter itu mendiagnosis seorang pasien karena dia mengidentifikasi gejala-gejala pasiennya.,Dokter itu mendiagnosis seorang pasien karena dia meresepkan pil ke pasiennya.,cause,0,False,karena
Saya menggaruk kulit saya.,Saya menggaruk kulit saya karena kulit saya berkeringat.,Saya menggaruk kulit saya karena kulit saya terasa gatal.,cause,1,False,karena
Pria itu menjalani operasi darurat.,Pria itu menjalani operasi darurat karena dia kehilangan kesabaran.,Pria itu menjalani operasi darurat karena dia menderita serangan jantung.,cause,1,False,karena
Otot lengan pria itu menonjol.,Otot lengan pria itu menonjol karena dia kencangkan lengannya.,Otot lengan pria itu menonjol karena dia gosok lengannya.,cause,0,False,karena
Pria itu mengangkat alisnya.,Pria itu mengangkat alisnya karena dia kaget.,Pria itu mengangkat alisnya karena dia merasa kecil hati.,cause,0,False,karena
Saya maafkan kesalahan kolega saya.,Saya maafkan kesalahan kolega saya karena saya percaya bahwa ia berniat baik.,Saya maafkan kesalahan kolega saya karena saya percaya bahwa dia tahu lebih baik.,cause,0,False,karena
Pria itu berhenti merokok.,Pria itu berhenti merokok sehingga dia mulai lebih sering berolahraga.,Pria itu berhenti merokok sehingga dia mulai bangun lebih awal.,effect,0,False,sehingga
Wanita itu memukul hidung penyerangnya.,Wanita itu memukul hidung penyerangnya sehingga tubuh penyerang itu menjadi tak bernyawa.,Wanita itu memukul hidung penyerangnya sehingga penyerang itu mulai berdarah.,effect,1,False,sehingga
Anak panah itu tidak mengenai sasarannya.,Anak panah itu tidak mengenai sasarannya karena bidikan pria itu kurang tepat.,Anak panah itu tidak mengenai sasarannya karena pria itu kalah dalam permainan itu.,cause,0,False,karena
Pemilik rumah itu meminta pembasmi untuk datang ke rumahnya.,Pemilik rumah itu meminta pembasmi untuk datang ke rumahnya karena dia menemukan tikus di ruang bawah tanah rumahnya.,Pemilik rumah itu meminta pembasmi untuk datang ke rumahnya karena dia memiliki sebuah peternakan semut di kamarnya.,cause,0,False,karena
Saya menyarankan kepada tamu rumah saya untuk pergi makan malam.,Saya menyarankan kepada tamu rumah saya untuk pergi makan malam karena saya terlalu lelah untuk menyiapkan apa pun.,Saya menyarankan kepada tamu rumah saya untuk pergi makan malam karena tamu rumah saya sudah tinggal terlalu lama.,cause,0,False,karena
Gadis itu menangkap kakaknya sedang membaca buku hariannya.,Gadis itu menangkap kakaknya sedang membaca buku hariannya sehingga dia mulai menyembunyikan buku harian itu.,Gadis itu menangkap kakaknya sedang membaca buku hariannya sehingga dia beli buku harian baru.,effect,0,False,sehingga
Wanita itu kekurangan uang untuk bayar sewaanya.,Wanita itu kekurangan uang untuk bayar sewaanya sehingga dia bekerja lembur.,Wanita itu kekurangan uang untuk bayar sewaanya sehingga dia keluar dari pekerjaannya.,effect,0,False,sehingga
Tangan anak itu dengan cepat diambil balik.,Tangan anak itu dengan cepat diambil balik karena dia menyentuh kompor panas.,Tangan anak itu dengan cepat diambil balik karena dia menepuk kepala anak anjing itu.,cause,0,False,karena
Perusahaan itu ingin mengukur kepuasan pelanggannya.,Perusahaan itu ingin mengukur kepuasan pelanggannya sehingga mereka menawarkan diskon kepada pelanggan baru.,Perusahaan itu ingin mengukur kepuasan pelanggannya sehingga mereka membagikan survei kepada pelanggannya.,effect,1,False,sehingga
Lantai kayu itu tergores.,Lantai kayu itu tergores karena bocah itu melempar bantal sofa ke lantai.,Lantai kayu itu tergores karena bocah itu menyeret kursi di lantai.,cause,1,False,karena
Saya melindungi wajah saya.,Saya melindungi wajah saya karena musuh saya mengejek saya.,Saya melindungi wajah saya karena musuh saya mengepalkan tangan.,cause,1,False,karena
Patung yang terkenal itu terbakar.,Patung yang terkenal itu terbakar karena patung itu disambar petir.,Patung yang terkenal itu terbakar karena orang-orang datang untuk memuliakannya.,cause,0,False,karena
Saya meninggalkan buah itu di atas meja.,Saya meninggalkan buah itu di atas meja sehingga buah itu menumpahkan biji.,Saya meninggalkan buah itu di atas meja sehingga lalat-lalat pun mengerumuni buah itu.,effect,1,False,sehingga
Balerina itu merobek ligamennya.,Balerina itu merobek ligamennya karena dia menunjuk jari-jari kakinya.,Balerina itu merobek ligamennya karena dia memutar pergelangan kakinya.,cause,1,False,karena
Tali sepatu anak itu terlepas.,Tali sepatu anak itu terlepas karena dia belajar cara mengikatnya.,Tali sepatu anak itu terlepas karena dia berlari-lari di taman bermain.,cause,1,False,karena
Saya terpesona dengan buku ini.,Saya terpesona dengan buku ini sehingga saya kembalikan buku itu.,Saya terpesona dengan buku ini sehingga saya sampai lupa waktu.,effect,1,False,sehingga
Pria itu memiliki kepercayaan yang sama dengan orang tuanya.,Pria itu memiliki kepercayaan yang sama dengan orang tuanya karena orang tuanya memengaruhinya.,Pria itu memiliki kepercayaan yang sama dengan orang tuanya karena orang tuanya tidak lagi mengakui dia sebagai anak mereka.,cause,0,False,karena
Mobil itu perlahan melambat hingga berhenti.,Mobil itu perlahan melambat hingga berhenti karena mobil itu kehabisan bensin.,Mobil itu perlahan melambat hingga berhenti karena pengemudinya tertidur.,cause,0,False,karena
Pria itu makan es krim di bawah sinar matahari.,Pria itu makan es krim di bawah sinar matahari sehingga es krimn itu kehilang rasanya.,Pria itu makan es krim di bawah sinar matahari sehingga es krim itu menetes dari kerucutnya.,effect,1,False,sehingga
Saya menggantung sebuah karya seni di kamar itu.,Saya menggantung sebuah karya seni di kamar itu karena karpetnya tampak kotor.,Saya menggantung sebuah karya seni di kamar itu karena dinding kamar itu tampak hampa.,cause,1,False,karena
Saya pulang kerja lebih awal.,Saya pulang kerja lebih awal karena saya sakit kepala.,Saya pulang kerja lebih awal karena bos saya mengadakan sebuah pertemuan.,cause,0,False,karena
Anak anjing itu mengotori karpet.,Anak anjing itu mengotori karpet sehingga pemiliknya memarahinya.,Anak anjing itu mengotori karpet sehingga pemiliknya memberinya sebuah hadiah.,effect,0,False,sehingga
Saya meminta maaf kepada teman saya.,Saya meminta maaf kepada teman saya sehingga dia memaafkan saya.,Saya meminta maaf kepada teman saya sehingga dia menjadi geram.,effect,0,False,sehingga
Pria itu menonjol sekali di tengah kerumunan.,Pria itu menonjol sekali di tengah kerumunan karena dia membawa ransel.,Pria itu menonjol sekali di tengah kerumunan karena dia mengenakan rompi neon.,cause,1,False,karena
Saksi itu berbohong di bawah sumpah.,Saksi itu berbohong di bawah sumpah sehingga dia melengkapi kesaksiannya.,Saksi itu berbohong di bawah sumpah sehingga dia didakwa dengan sumpah palsu.,effect,1,False,sehingga
Wanita itu mengecat rambutnya.,Wanita itu mengecat rambutnya karena dia menginginkan sebuah tampilan baru.,Wanita itu mengecat rambutnya karena dia ingin berbaur dengan orang lain.,cause,0,False,karena
Para imigran ditangkap karena tinggal dengan ilega di negara tersebut.,Para imigran ditangkap karena tinggal dengan ilega di negara tersebut sehingga mereka mendapatkan pekerjaan.,Para imigran ditangkap karena tinggal dengan ilega di negara tersebut sehingga mereka dideportasi.,effect,1,False,sehingga
Pembicara itu membuat lelucon.,Pembicara itu membuat lelucon sehingga para hadirin tertawa.,Pembicara itu membuat lelucon sehingga para hadirin berdiri.,effect,0,False,sehingga
Saya melihat ke matahari.,Saya melihat ke matahari sehingga matahari membutakanku.,Saya melihat ke matahari sehingga kulitku terjemur.,effect,0,False,sehingga
Saya bosan.,Saya bosan sehingga saya mendengus.,Saya bosan sehingga saya menguap.,effect,1,False,sehingga
Steak itu sulit dipotong.,Steak itu sulit dipotong karena pisau yang saya gunakan tumpul.,Steak itu sulit dipotong karena steak itu mentah.,cause,0,False,karena
Wanita itu menyatakan bangkrut.,Wanita itu menyatakan bangkrut karena dia menerima pembayaran tunjangan.,Wanita itu menyatakan bangkrut karena dia memperoleh hutang besar.,cause,1,False,karena
Lampu-lampu di apartemen temanku menyala.,Lampu-lampu di apartemen temanku menyala sehingga saya bertanya-tanya apakah dia berada di luar rumah.,Lampu-lampu di apartemen temanku menyala sehingga saya datang untuk mengunjunginya.,effect,1,False,sehingga
Aku taruh bunga itu di bawah hidungku.,Aku taruh bunga itu di bawah hidungku sehingga kelopaknya terlepas dari bunga itu.,Aku taruh bunga itu di bawah hidungku sehingga saya cium aroma bunga.,effect,1,False,sehingga
Wanita itu merasa nostalgia.,Wanita itu merasa nostalgia karena dia bertemu seorang teman masa kecilnya.,Wanita itu merasa nostalgia karena dia berteriak kepada anak-anaknya.,cause,0,False,karena
Siswa itu menunda-nunda menyelesaikan tugasnya.,Siswa itu menunda-nunda menyelesaikan tugasnya sehingga dia menyerahkan tugasnya lebih awal.,Siswa itu menunda-nunda menyelesaikan tugasnya sehingga dia menyerahkan tugas yang tidak lengkap.,effect,1,False,sehingga
Mobil saya mogok.,Mobil saya mogok sehingga saya pergi ke mal.,Mobil saya mogok sehingga saya telpon seorang mekanik.,effect,1,False,sehingga
Saya membuang catatan itu.,Saya membuang catatan itu karena catatan itu anonim.,Saya membuang catatan itu karena catatan itu tidak terbaca.,cause,1,False,karena
Burung itu mengepakkan sayapnya.,Burung itu mengepakkan sayapnya sehingga ia bertelur.,Burung itu mengepakkan sayapnya sehingga ia terbang ke atas.,effect,1,False,sehingga
Saya parkir di jalan masuk.,Saya parkir di jalan masuk karena garasinya terbuka.,Saya parkir di jalan masuk karena garasinya penuh.,cause,1,False,karena
Si penjahat mengarahkan pistol ke korbannya.,Si penjahat mengarahkan pistol ke korbannya sehingga si penjahat meletakkan senjatanya di tanah.,Si penjahat mengarahkan pistol ke korbannya sehingga korbannya pun mengangkat tangannya.,effect,1,False,sehingga
Saya menantikan akhir pekan.,Saya menantikan akhir pekan karena saya berencana untuk menghadiri pemakaman paman saya.,Saya menantikan akhir pekan karena saya berencana untuk menghadiri pernikahan teman saya.,cause,1,False,karena
Saya lupa waktu.,Saya lupa waktu karena saya sedang melamun.,Saya lupa waktu karena saya mual.,cause,0,False,karena
Dokumen yang dicetak itu tidak bisa dibaca.,Dokumen yang dicetak itu tidak bisa dibaca karena tinta printer itu hampir habis.,Dokumen yang dicetak itu tidak bisa dibaca karena printernya telah kehabisan kertas.,cause,0,False,karena
Lagu kebangsaan dimainkan di dalam stadion.,Lagu kebangsaan dimainkan di dalam stadion sehingga para penggemar berputar badan ke bendera.,Lagu kebangsaan dimainkan di dalam stadion sehingga para penggemar bergegas ke lapangan.,effect,0,False,sehingga
Saus itu terasa hambar.,Saus itu terasa hambar sehingga saya sajikannya.,Saus itu terasa hambar sehingga saya tambahkan garam ke saus itu.,effect,1,False,sehingga
Saya taruh handuk kertas di atas tumpahan itu.,Saya taruh handuk kertas di atas tumpahan itu sehingga handuk kertas itu menyerap cairan yang tumpah.,Saya taruh handuk kertas di atas tumpahan itu sehingga tumpahan itu meninggalkan residu lengket.,effect,0,False,sehingga
Wanita itu terganggu di tengah-tengah membaca bukunya.,Wanita itu terganggu di tengah-tengah membaca bukunya sehingga dia menandai halaman yang sedang dibacanya.,Wanita itu terganggu di tengah-tengah membaca bukunya sehingga dia membaca ulang buku itu.,effect,0,False,sehingga
Pesawat itu terkena turbulensi.,Pesawat itu terkena turbulensi sehingga pria itu mengencangkan sabuk pengamannya.,Pesawat itu terkena turbulensi sehingga pria itu memandang ke luar jendela.,effect,0,False,sehingga
Bocah itu tersentak.,Bocah itu tersentak karena gadis itu mengabaikannya.,Bocah itu tersentak karena gadis itu menusuknya.,cause,1,False,karena
Para dokter memberikan  pasien itu sebuah kaki palsu.,Para dokter memberikan  pasien itu sebuah kaki palsu karena mereka telah mengamputasi kakinya.,Para dokter memberikan  pasien itu sebuah kaki palsu karena mereka memonitor tanda vitalnya.,cause,0,False,karena
Bocah itu mencubit siku gadis itu.,Bocah itu mencubit siku gadis itu sehingga dia mengangkat bahunya ke arah bocah itu.,Bocah itu mencubit siku gadis itu sehingga dia menyentakkan lengannya darinya.,effect,1,False,sehingga
Saya meminta saran dari teman saya.,Saya meminta saran dari teman saya karena saya menghargai pendapatnya.,Saya meminta saran dari teman saya karena saya tahu saya benar.,cause,0,False,karena
Bocah itu melangkah ke dalam lumpur.,Bocah itu melangkah ke dalam lumpur sehingga lumpur menempel di sepatunya.,Bocah itu melangkah ke dalam lumpur sehingga lumpur itu menerpa wajahnya.,effect,0,False,sehingga
Beberapa inci salju jatuh di kota itu.,Beberapa inci salju jatuh di kota itu sehingga semua sekolah ditutup.,Beberapa inci salju jatuh di kota itu sehingga orang-orang bersembunyi di bawah tanah.,effect,0,False,sehingga
Sift karyawan itu telah berakhir.,Sift karyawan itu telah berakhir sehingga dia pulang dari kantor.,Sift karyawan itu telah berakhir sehingga dia mengancam akan berhenti dari pekerjaannya.,effect,0,False,sehingga
Pohon itu merusak rumah itu.,Pohon itu merusak rumah itu karena pohon itu jatuh ke atas atap.,Pohon itu merusak rumah itu karena pohon itu menaungi halaman belakang.,cause,0,False,karena
Kayu itu terbelah dua.,Kayu itu terbelah dua karena saya tumpuk kayu di atas perapian itu.,Kayu itu terbelah dua karena saya mengayunkan kapak ke kayu tersebut.,cause,1,False,karena
Keluarga itu mengucapkan selamat kepada pasangan itu.,Keluarga itu mengucapkan selamat kepada pasangan itu karena pasangan itu mengumumkan bahwa mereka akan berpisah.,Keluarga itu mengucapkan selamat kepada pasangan itu karena pasangan itu mengumumkan bahwa mereka akan memiliki bayi.,cause,1,False,karena
Gadis itu mengirim valentine kepada anak laki-laki itu.,Gadis itu mengirim valentine kepada anak laki-laki itu karena dia menyukainya.,Gadis itu mengirim valentine kepada anak laki-laki itu karena dia menciumnya.,cause,0,False,karena
Saya menganggukkan kepala pada pernyataan teman saya.,Saya menganggukkan kepala pada pernyataan teman saya karena saya bingung.,Saya menganggukkan kepala pada pernyataan teman saya karena saya setuju dengannya.,cause,1,False,karena
Teman-teman itu melempar sebuah koin.,Teman-teman itu melempar sebuah koin karena mereka ingin menemukan kompromi.,Teman-teman itu melempar sebuah koin karena mereka ingin membuat keputusan yang adil.,cause,1,False,karena
Timer di dapur berbunyi.,Timer di dapur berbunyi sehingga pria itu menaruh barang-barang belanjaannya ke dalam kulkas.,Timer di dapur berbunyi sehingga pria itu mengeluarkan sebuah pizza dari oven.,effect,1,False,sehingga
Wanita itu menetapkan untuk sampai tujuan ambisius.,Wanita itu menetapkan untuk sampai tujuan ambisius sehingga dia malas.,Wanita itu menetapkan untuk sampai tujuan ambisius sehingga dia bekerja keras.,effect,1,False,sehingga
Pria yang kaya itu meninggal karena usia tua.,Pria yang kaya itu meninggal karena usia tua sehingga putranya melarang hukum.,Pria yang kaya itu meninggal karena usia tua sehingga putranya mewarisi kekayaannya.,effect,1,False,sehingga
Wanita itu menginjak api.,Wanita itu menginjak api sehingga nyala api padam.,Wanita itu menginjak api sehingga asap muncul dari api itu.,effect,0,False,sehingga
Mobil wanita itu ada di toko.,Mobil wanita itu ada di toko karena sIM-nya dicabut.,Mobil wanita itu ada di toko karena dia mengalami kecelakaan mobil.,cause,1,False,karena
Saya terus tidur meskipun alarm saya bunyi.,Saya terus tidur meskipun alarm saya bunyi sehingga saya membuat sarapan.,Saya terus tidur meskipun alarm saya bunyi sehingga saya kelewatan sarapan.,effect,1,False,sehingga
Tokoh publik itu keluar dari limusin.,Tokoh publik itu keluar dari limusin sehingga kamera terpacu ke arahnya.,Tokoh publik itu keluar dari limusin sehingga keluarganya menghadiri konferensi pers.,effect,0,False,sehingga
Wanita itu berlama-lama di bak mandi.,Wanita itu berlama-lama di bak mandi sehingga air mandi menjadi kurang hangat.,Wanita itu berlama-lama di bak mandi sehingga air mandi mengalir keluar dari bak mandi.,effect,0,False,sehingga
Mahasiswa itu ingin bertemu dengan siswa lain di kampus.,Mahasiswa itu ingin bertemu dengan siswa lain di kampus sehingga dia bergabung dengan persaudaraan.,Mahasiswa itu ingin bertemu dengan siswa lain di kampus sehingga dia mengambil jurusan teknik.,effect,0,False,sehingga
Saya mengangkat bantal sofa.,Saya mengangkat bantal sofa karena saya mencari uang receh.,Saya mengangkat bantal sofa karena saya sedang mengatur ulang ruang tamu.,cause,0,False,karena
Tawon itu terbang ke arah bocah itu.,Tawon itu terbang ke arah bocah itu sehingga bocah itu lari.,Tawon itu terbang ke arah bocah itu sehingga bocah itu memetik bunga.,effect,0,False,sehingga
Wanita itu dinyatakan bersalah atas pelanggaran ringan.,Wanita itu dinyatakan bersalah atas pelanggaran ringan sehingga dia dijatuhi hukuman melakukan pelayanan masyarakat.,Wanita itu dinyatakan bersalah atas pelanggaran ringan sehingga dia dihukum mati.,effect,0,False,sehingga
Saya mengaduk gula ke dalam teh yang panas.,Saya mengaduk gula ke dalam teh yang panas sehingga teh itu menguap.,Saya mengaduk gula ke dalam teh yang panas sehingga gulanya larut.,effect,1,False,sehingga
Veteran itu berjalan dengan pincang.,Veteran itu berjalan dengan pincang karena dia direkrut untuk perang.,Veteran itu berjalan dengan pincang karena dia terluka dalam pertempuran.,cause,1,False,karena
Penjahat itu melarikan diri dari polisi.,Penjahat itu melarikan diri dari polisi sehingga polisi membantu korbannya.,Penjahat itu melarikan diri dari polisi sehingga polisi mengejar penjahat itu.,effect,1,False,sehingga
Laptop itu tidak mau hidup.,Laptop itu tidak mau hidup karena saya menjatuhkannya.,Laptop itu tidak mau hidup karena saya mengisi baterenya.,cause,0,False,karena
Wanita itu kehabisan tempat di lemarinya.,Wanita itu kehabisan tempat di lemarinya karena dia mendapatkan lemari pakaian yang luas.,Wanita itu kehabisan tempat di lemarinya karena dia lipat cuciannya.,cause,0,False,karena
Pria itu patah hati.,Pria itu patah hati karena istrinya melahirkan.,Pria itu patah hati karena his wife left him.,cause,1,False,karena
Pria itu memperoleh gelar.,Pria itu memperoleh gelar sehingga ia memenuhi syarat untuk pekerjaan yang diinginkannya.,Pria itu memperoleh gelar sehingga tawaran pekerjaannya dibatalkan.,effect,0,False,sehingga
Suara pria itu terproyeksi dengan jelas di seluruh auditorium.,Suara pria itu terproyeksi dengan jelas di seluruh auditorium karena dia menyapa para hadirin.,Suara pria itu terproyeksi dengan jelas di seluruh auditorium karena dia berbicara di depan mikrofon.,cause,1,False,karena
Saya melemparkan koin ke dalam air mancur.,Saya melemparkan koin ke dalam air mancur sehingga koin itu tenggelam ke bawah.,Saya melemparkan koin ke dalam air mancur sehingga koin itu pecah menjadi dua.,effect,0,False,sehingga
Pemain memukul bola itu ke arah lubang.,Pemain memukul bola itu ke arah lubang sehingga bola itu masuk ke dalam lubang.,Pemain memukul bola itu ke arah lubang sehingga bola itu kembali ke pemain.,effect,0,False,sehingga
Aku menghirup debu di loteng.,Aku menghirup debu di loteng sehingga saya cegukan.,Aku menghirup debu di loteng sehingga aku bersin.,effect,1,False,sehingga
Kasir toko itu panggil tugas keamanan.,Kasir toko itu panggil tugas keamanan karena pelanggan itu menggunakan uang palsu.,Kasir toko itu panggil tugas keamanan karena pelanggan itu membiarkan lampu depan mobilnya menyala.,cause,0,False,karena
Saya mengeluarkan sampah.,Saya mengeluarkan sampah karena sampah itu membuat dapur bau.,Saya mengeluarkan sampah karena saya tidak sengaja membuang daftar belanjaan saya.,cause,0,False,karena
Keluarga itu pergi ke kebun binatang.,Keluarga itu pergi ke kebun binatang sehingga anak-anaknya mengagumi binatang-binatang.,Keluarga itu pergi ke kebun binatang sehingga anak-anaknya mengejar binatang.,effect,0,False,sehingga
Napas pria itu keras.,Napas pria itu keras karena ginjalnya gagal.,Napas pria itu keras karena paru-parunya sesak.,cause,1,False,karena
Saya punya tiket ekstra untuk konser.,Saya punya tiket ekstra untuk konser sehingga saya minta arah menuju tempat acara kepada teman saya.,Saya punya tiket ekstra untuk konser sehingga saya bertanya kepada teman saya bila dia tertarik untuk pergi bersama saya.,effect,1,False,sehingga
Pendingin udara di rumah rusak.,Pendingin udara di rumah rusak sehingga saya keluarkan selimut.,Pendingin udara di rumah rusak sehingga saya membuka jendela.,effect,1,False,sehingga
Punggung bocah itu sakit.,Punggung bocah itu sakit karena ranselnya terbuka.,Punggung bocah itu sakit karena ranselnya berat.,cause,1,False,karena
Saya belikan ibuku hadiah.,Saya belikan ibuku hadiah karena saya membuatkannya kue.,Saya belikan ibuku hadiah karena itu adalah hari ulang tahunnya.,cause,1,False,karena
Bakung di taman terhancurkan.,Bakung di taman terhancurkan karena seekor lebah menyengat si tukang kebun.,Bakung di taman terhancurkan karena tupai menggali umbi bakung-bakung itu.,cause,1,False,karena
Saya nyalakan korek api.,Saya nyalakan korek api sehingga nyala api memudar.,Saya nyalakan korek api sehingga korek it menghasilkan nyala api.,effect,1,False,sehingga
Para pihak yang berselisih itu mencapai sebuah penyelesaian.,Para pihak yang berselisih itu mencapai sebuah penyelesaian karena mereka tidak ingin berdebat di pengadilan.,Para pihak yang berselisih itu mencapai sebuah penyelesaian karena mereka ingin memperbaiki hubungan pribadi mereka.,cause,0,False,karena
Anak-anak itu dikirim ke panti asuhan.,Anak-anak itu dikirim ke panti asuhan karena orang tua mereka meninggal.,Anak-anak itu dikirim ke panti asuhan karena orang tua mereka memanjakan mereka.,cause,0,False,karena
Sebuah meteorit mendarat di lautan.,Sebuah meteorit mendarat di lautan sehingga tsunami terjadi.,Sebuah meteorit mendarat di lautan sehingga hujan es mulai terjadi.,effect,0,False,sehingga
Pejalan kaki itu menemukan sebuah ular berbisa.,Pejalan kaki itu menemukan sebuah ular berbisa sehingga dia mengalami dehidrasi.,Pejalan kaki itu menemukan sebuah ular berbisa sehingga dia panik.,effect,1,False,sehingga
Ovennya memanas.,Ovennya memanas sehingga saya menyalakan oven tersebut.,Ovennya memanas sehingga saya meletakkan makanan di dalam oven.,effect,0,False,sehingga
Aku meremas sebuah irisan lemon.,Aku meremas sebuah irisan lemon sehingga lemon itu menjadi berjamur.,Aku meremas sebuah irisan lemon sehingga lemon itu menyemprot.,effect,1,False,sehingga
Negara itu menemukan tanah baru.,Negara itu menemukan tanah baru sehingga negara itu meninggalkan tanah itu.,Negara itu menemukan tanah baru sehingga negara itu menjajah tanah itu.,effect,1,False,sehingga
Gelas itu terguling dari meja.,Gelas itu terguling dari meja sehingga gelas itu terpecah di seluruh lantai.,Gelas itu terguling dari meja sehingga gelas itu mendarat di tumpukan cucian.,effect,0,False,sehingga
Meja itu bergetar.,Meja itu bergetar karena lantainya tidak rata.,Meja itu bergetar karena the floor was slippery.,cause,0,False,karena
Sang ayah menangkap putranya sedang berbohong.,Sang ayah menangkap putranya sedang berbohong sehingga putranya mengakui kebenarannya.,Sang ayah menangkap putranya sedang berbohong sehingga sang ayah memercayai putranya.,effect,0,False,sehingga
Kepala pria itu berdenyut kesakitan.,Kepala pria itu berdenyut kesakitan sehingga dia minum sirup obat batuk.,Kepala pria itu berdenyut kesakitan sehingga he took aspirin.,effect,1,False,sehingga
